# c0 + a0 * (Cl + P) + a1 * (Al + O) + a2 * (face-area-avg / E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.329094308554863; Max AE: 1.82478462617579
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.825604175663931e+00, -1.977468621400802e+00,  9.119088186288012e+00, -5.225258678962001e-01, -1.510597878233269e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|17|add; (Cl + P); $\left(Cl + P\right)$; (Cl + P); (newdata$Cl + newdata$P); Cl,P
# 1;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; A^2;                                              33|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 3;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          , -2.244947812336508e+01, -2.212302746962902e+01,  1.715328467153285e-01,  6.313868613138686e-01,  1.785273023769763e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.304450999649845e+01,  1.358490566037736e-01,  4.679245283018868e-01,  1.725987640198555e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.748347943765390e+01,  2.652173913043478e-01,  1.086956521739130e-01,  3.184858130296954e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.910763611468704e+01,  3.370786516853932e-02,  0.000000000000000e+00,  2.742002272670965e-01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.064173210160335e+01,  1.615384615384615e-01,  4.076923076923077e-01,  2.371914168200186e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.147642150856777e+01,  2.137404580152672e-01,  6.183206106870229e-01,  1.859217849576567e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.151011015743788e+01,  5.286343612334802e-02,  6.607929515418502e-01,  1.806151507761732e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.103513363917065e+01,  0.000000000000000e+00,  0.000000000000000e+00,  2.188666926194139e-01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.261141640433532e+01,  1.414634146341464e-01,  4.682926829268293e-01,  1.408733136606655e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.920969938479225e+01,  5.729166666666666e-02,  0.000000000000000e+00,  2.391866531885453e-01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.948068025444427e+01,  8.754208754208755e-02,  0.000000000000000e+00,  2.634089195789996e-01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.932190761053327e+01,  0.000000000000000e+00,  3.947368421052632e-01,  2.729119649767394e-01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.686259719786520e+01,  0.000000000000000e+00,  0.000000000000000e+00,  3.498205353670782e-01,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.840865644395326e+01,  7.894736842105263e-02,  0.000000000000000e+00,  3.103992464147319e-01,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.111234048953823e+01,  0.000000000000000e+00,  0.000000000000000e+00,  1.826942873763845e-01,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.225619588750310e+01,  1.681415929203540e-01,  5.575221238938053e-01,  1.486995139096716e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.854608983644254e+01,  0.000000000000000e+00,  0.000000000000000e+00,  2.775841933540951e-01,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.161613791458064e+01,  9.465020576131687e-02,  4.897119341563786e-01,  1.989363061738647e-01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.196500361172779e+01,  0.000000000000000e+00,  3.059360730593607e-01,  1.410527783082114e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.960487908769287e+01,  0.000000000000000e+00,  3.952569169960474e-02,  2.687491891960654e-01,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.272930212400630e+01,  0.000000000000000e+00,  5.212765957446809e-01,  1.576089788997455e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.660352219732970e+01,  0.000000000000000e+00,  0.000000000000000e+00,  4.028711174400567e-01,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.277014647571561e+01,  1.000000000000000e-01,  3.166666666666667e-01,  1.390044562127534e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.017040578597769e+01,  2.301255230125523e-01,  3.472803347280335e-01,  2.278202561774379e-01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.260976320160417e+01,  0.000000000000000e+00,  5.141242937853108e-01,  1.316196487140282e-01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.828728554042338e+01,  0.000000000000000e+00,  1.673469387755102e-01,  3.478383880825129e-01,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -1.995208338451868e+01,  1.710526315789474e-01,  1.052631578947368e-01,  2.163054806786991e-01,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.653429470027742e+01,  3.827586206896552e-01,  5.862068965517241e-02,  3.587289298271981e-01,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.302472903183921e+01,  0.000000000000000e+00,  4.293785310734464e-01,  1.226354761217143e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.711147228747996e+01,  1.350210970464135e-01,  0.000000000000000e+00,  3.276868423896840e-01,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.958929999801235e+01,  0.000000000000000e+00,  2.842105263157895e-01,  2.472776461939692e-01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.103969378231016e+01,  1.176470588235294e-01,  0.000000000000000e+00,  1.807857716845267e-01,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.336343379190626e+01,  0.000000000000000e+00,  4.126984126984127e-01,  1.255117347684950e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.215606044425522e+01,  0.000000000000000e+00,  7.954545454545454e-02,  1.704713383703924e-01,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.228648673619859e+01,  6.310679611650485e-02,  5.145631067961165e-01,  1.416329006106836e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.188775696928852e+01,  2.428115015974441e-01,  6.102236421725240e-01,  2.143866870261807e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.191259020424970e+01,  3.152542372881356e-01,  5.389830508474577e-01,  1.954018115991528e-01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.105276863529490e+01,  0.000000000000000e+00,  3.099415204678362e-01,  1.898105042368268e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.099734424719220e+01,  0.000000000000000e+00,  8.161434977578476e-01,  1.965968280284532e-01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.942273323095957e+01,  0.000000000000000e+00,  1.702127659574468e-01,  2.395395098410020e-01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.926572636424961e+01,  0.000000000000000e+00,  2.189054726368159e-01,  2.633726660438693e-01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.915996553985097e+01,  1.956521739130435e-01,  6.521739130434782e-02,  2.583052471184119e-01,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.252770430902588e+01,  0.000000000000000e+00,  7.235023041474655e-01,  1.497484032372155e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.963359171483060e+01,  0.000000000000000e+00,  0.000000000000000e+00,  2.417573704498071e-01,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.951693742316306e+01,  0.000000000000000e+00,  3.030303030303030e-02,  2.389026644823618e-01,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.043885868180782e+01,  0.000000000000000e+00,  1.098039215686274e-01,  2.292989352655356e-01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.874796118361177e+01,  9.187279151943463e-02,  0.000000000000000e+00,  2.614922931591507e-01,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.691996911256248e+01,  0.000000000000000e+00,  0.000000000000000e+00,  4.015260422928962e-01,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.154411605539104e+01,  3.992094861660079e-01,  3.359683794466403e-01,  1.898139551602869e-01,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.034519881551357e+01,  0.000000000000000e+00,  0.000000000000000e+00,  2.302528396614023e-01,  1.404507687388660e+01
