# c0 + a0 * (face-area-avg * VPA) + a1 * (Ge * S) + a2 * (poly_dist_avg - SBI) + a3 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.638011079459778; Max AE: 2.59245388952007
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.634269142399586e-01,  8.207329254923847e+00,  2.767311635696482e+00, -7.103400247209948e-02,  2.286077689963520e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         32|3|mult; (face-area-avg * VPA); $\left(face-area-avg VPA\right)$; (face_sub_area_sub_avg .* VPA); (newdata$face_sub_area_sub_avg * newdata$VPA); face-area-avg,VPA
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 3;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          ,  6.774572406644882e-01,  4.034147105199688e-01,  1.028377264668192e+00,  0.000000000000000e+00,  6.417673197130047e-02,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  7.273662443041240e-01,  6.932625404794364e-02,  0.000000000000000e+00,  1.762139112243052e-01,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -9.021785032228218e-01,  6.611446408305669e-01,  0.000000000000000e+00, -9.363884935216206e-02,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -6.899147791608491e-01,  4.851261397669510e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.152719699841941e+01
s5          ,  2.455067115358116e-01,  2.475253345222685e-01, -1.733107661760981e-01,  0.000000000000000e+00,  1.600279415129083e-01,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  4.499492222836605e-01,  1.214010192583766e+00,  0.000000000000000e+00,  5.454548565305867e-02,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  1.852529480369687e-01,  1.300485390928343e+00,  0.000000000000000e+00, -3.783601111138252e-02,  2.510891026275293e+01
s8          ,  1.258527874893824e+00,  1.036782099040533e+00,  2.565538701165570e-01,  1.822916666666667e-01,  1.467242940128557e-02,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  1.225124703228275e+00,  1.467869920727318e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.659224210461170e+01
s10         , -3.778119871449526e-01,  5.440664352694946e-01,  8.303037622563286e-02,  5.078125000000000e-02, -1.646476650975018e-03,  3.013576465851754e+01
